v,E
500.00,155.50
418.00,118.60
523.00,152.60
429.00,112.90
525.00,156.50
514.00,174.60
472.00,134.20
493.00,149.70
437.00,129.20
514.00,153.60
391.00,107.50
532.00,158.70
481.00,148.30
424.00,94.30
523.00,172.80
407.00,118.50
468.00,128.60
457.00,127.70
448.00,125.60
421.00,115.10
353.00,98.00
320.00,72.60
462.00,135.70
546.00,177.00
431.00,125.00
436.00,117.90
408.00,110.00
409.00,121.00
458.00,104.70
471.00,147.10
470.00,124.00
548.00,162.30
515.00,155.80
502.00,132.50
472.00,135.60
484.00,140.40
483.00,143.40
467.00,113.00
453.00,119.50
510.00,140.60
362.00,111.70
394.00,112.10
415.00,107.10
418.00,109.80
543.00,155.40
457.00,103.60
353.00,62.60
424.00,117.10
482.00,141.20
383.00,107.40
458.00,124.40
422.00,115.70
451.00,128.60
405.00,107.50
541.00,162.30
465.00,140.70
502.00,122.60
464.00,131.30
358.00,98.30
553.00,159.10
462.00,125.20
514.00,161.80
406.00,112.40
436.00,116.70
402.00,120.80
480.00,117.70
453.00,124.20
460.00,122.40
409.00,116.70
505.00,155.80
465.00,114.80
440.00,126.70
421.00,126.90
401.00,100.10
412.00,117.90
390.00,91.40
444.00,130.00
446.00,144.00
397.00,108.60
448.00,125.00
459.00,145.40
458.00,133.50
532.00,160.60
395.00,109.10
351.00,89.00
428.00,130.30
547.00,179.00
434.00,108.70
437.00,145.10
463.00,136.70
522.00,154.50
396.00,90.10
448.00,137.70
453.00,126.40
488.00,134.10
475.00,132.00
477.00,146.00
427.00,120.10
512.00,169.90
428.00,131.60
576.00,170.10
487.00,146.00
477.00,135.80
510.00,162.30
436.00,114.30
507.00,142.40
434.00,110.50
